id,rating,pop,desc,director,writer,star
902,8.1|823K,294|up|30,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.",Joel Coen|Ethan Coen,Ethan Coen|Joel Coen,Jeff Bridges|John Goodman|Julianne Moore
903,6.0|3.7K,,A handyman with marital problems meets a housewife with the same.,Alan Rudolph,Alan Rudolph,Nick Nolte|Julie Christie|Lara Flynn Boyle
904,,,,,,
905,6.8|55K,"1,376|down|302",Modernization of Charles Dickens' classic story finds the hapless Finn as a painter in New York City pursuing his unrequited and haughty childhood love.,Alfonso Cuarón,Charles Dickens|Mitch Glazer,Ethan Hawke|Gwyneth Paltrow|Hank Azaria
906,,,,,,
907,6.2|10,,A woman gets a flat tire in the desert and is abducted by a trio of desert-rat losers.,Chris Innis,Chris Innis,Shaz Bennett|Peter Dryden|Merle Nicks
908,6.6|66K,"4,205|down|156",The story of three not so bright men who come up with a series of crazy schemes to get a friend out of jail.,Tamra Davis,Dave Chappelle|Neal Brennan,Dave Chappelle|Guillermo Diaz|Jim Breuer
909,7.1|19K,"4,730|down|649","A Venetian courtesan becomes a hero to her city, but later becomes the target of an inquisition by the Church for witchcraft.",Marshall Herskovitz,Margaret Rosenthal|Jeannine Dominy,Catherine McCormack|Rufus Sewell|Oliver Platt
910,7.3|9.7K,,"A rough, short-tempered patriarch of a working-class family sees his life and the relationships around him slowly unravel.",Gary Oldman,Gary Oldman,Ray Winstone|Kathy Burke|Charlie Creed-Miles
911,6.2|14K,,"A retired detective accepts a simple task, unaware that it will tear open old, forgotten, but deadly wounds.",Robert Benton,Robert Benton|Richard Russo,Paul Newman|Susan Sarandon|Gene Hackman
912,6.5|109K,"3,809|down|280","U.S. Marshal Samuel Gerard and his team of Marshals are assigned to track down Sheridan, who has been accused of a double-murder.",Stuart Baird,Roy Huggins|John Pogue,Tommy Lee Jones|Wesley Snipes|Robert Downey Jr.
913,6.9|4.1K,,"Giles De'Ath (Sir John Hurt) is a widower who doesn't like anything modern. He goes to movies and falls in love with movie star Ronnie Bostock (Jason Priestly). He then investigates everything about the movie and Ronnie. After that, he travels to Long Island City, where Ronnie lives, and meets him, pretending that Ronnie is a great actor, and that's why Giles admires ...",Richard Kwietniowski,Gilbert Adair|Richard Kwietniowski,John Hurt|Jason Priestley|Fiona Loewi
914,6.6|124K,733|up|143,A police detective uncovers a conspiracy behind a case involving a high-school guidance counselor when accusations of rape are made against him by two female students.,John McNaughton,Stephen Peters,Kevin Bacon|Neve Campbell|Matt Dillon
915,6.7|29K,,A man joins the political campaign of a smooth-operator candidate for President of the U.S.,Mike Nichols,Joe Klein|Elaine May,John Travolta|Emma Thompson|Kathy Bates
916,5.2|74K,"3,624|down|691",The Robinson family was going into space to fight for a chance for humanity. Now they are fighting to live long enough to find a way home.,Stephen Hopkins,Irwin Allen|Akiva Goldsman,Gary Oldman|William Hurt|Matt LeBlanc
917,6.1|76K,,Shadowy elements in the NSA target a nine-year old autistic savant for death when he is able to decipher a top secret code.,Harold Becker,Ryne Douglas Pearson|Lawrence Konner|Mark Rosenthal,Bruce Willis|Miko Hughes|Alec Baldwin
918,6.7|124K,"3,850|up|304","An angel on Earth, a doctor unable to believe, a patient with a secret, a love story made in Heaven.",Brad Silberling,Wim Wenders|Peter Handke|Richard Reitinger,Nicolas Cage|Meg Ryan|Andre Braugher
919,7.5|70K,,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",Marc Caro|Jean-Pierre Jeunet,Gilles Adrien|Jean-Pierre Jeunet|Marc Caro,Ron Perlman|Daniel Emilfork|Judith Vittet
920,6.1|3.5K,,"Gennaro lives with his ailing grandpa, who sits outside holding tight to his last quarter. But grandpa's not ready to die, he has some unfinished business with a woman from his past and he enlists Gennaro to act as his emissary.",James Foley,Joseph Stefano,Al Pacino|Mary Elizabeth Mastrantonio|Jerry Barone
921,8.1|31K,,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,Kaige Chen,Pik-Wah Lee|Wei Lu,Leslie Cheung|Fengyi Zhang|Gong Li
922,,,,,,
923,8.1|34K,,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",Yimou Zhang,Tong Su|Ni Zhen,Gong Li|Jingwu Ma|Saifei He
924,6.6|25K,,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,Ridley Scott,Charles Gieg Jr.|Felix Sutton|Todd Robinson,Jeff Bridges|Caroline Goodall|John Savage
925,6.0|5.7K,,"A medical examiner, who was suspected of murdering his wife, is trying an experimental drug to retrieve his wife's and others' memory and maybe find the killer and the mass murderer in a related present case.",John Dahl,Bill Geddie,Ray Liotta|Linda Fiorentino|Peter Coyote
926,6.1|26K,,"Lt. Cmdr. Tom Dodge is assigned as Captain to the USS Stingray, an old diesel driven submarine that has seen better days.",David S. Ward,Hugh Wilson|Andrew Kurtzman|Eliot Wald,Kelsey Grammer|Lauren Holly|Rob Schneider
927,,,,,,
928,6.4|99K,"1,607|down|64","A newcomer to a Catholic prep high school falls in with a trio of outcast teenage girls who practice witchcraft, and they all soon conjure up various spells and curses against those who anger them.",Andrew Fleming,Peter Filardi|Andrew Fleming,Robin Tunney|Fairuza Balk|Neve Campbell
929,5.9|11K,,"Harriet M. Welsch is a spy. But when her friends find her secret notebook, the tables are turned on her. Can she win them back and still keep on going with the spy business?",Bronwen Hughes,Louise Fitzhugh|Greg Taylor|Julie Talen,Michelle Trachtenberg|Rosie O'Donnell|Gregory Smith
930,5.6|54K,"4,538|up|330",Two researchers in a green alternative energy project are put on the run when they are framed for murder and treason.,Andrew Davis,Arne Schmidt|Rick Seaman|Josh Friedman,Keanu Reeves|Morgan Freeman|Rachel Weisz
931,4.5|34K,"3,075|up|402","After being rescued and brought to an island, a man discovers that its inhabitants are experimental animals being turned into strange-looking humans, all of it the work of a visionary doctor.",John Frankenheimer|Richard Stanley,H.G. Wells|Richard Stanley|Ron Hutchinson,David Thewlis|Marlon Brando|Val Kilmer
932,5.2|11K,,"A former boxer turned Secret Service agent is assigned to protect the President's son, who seems determined to make life difficult for his new protector.",David Mickey Evans,Tim Kelleher,Sinbad|Brock Pierce|Blake Boyd
933,6.6|9K,,"After the funeral of one of their own, a criminal family decides to embark on an emotionally unnerving journey in an attempt to exact bloody revenge.",Abel Ferrara,Nicholas St. John,Christopher Walken|Chris Penn|Annabella Sciorra
934,5.7|13K,,An angel comes to Earth to help a preacher save his church and his family.,Penny Marshall,Robert Nathan|Robert E. Sherwood|Leonardo Bercovici,Denzel Washington|Whitney Houston|Courtney B. Vance
935,6.8|5.7K,,A group of women who are imprisoned on the island of Sumatra by the Japanese during World War II use music to relieve their misery.,Bruce Beresford,David Giles|Martin Meader|Bruce Beresford,Glenn Close|Frances McDormand|Pauline Collins
936,7.2|20K,,"The coal mine in a northern English village may be closing, which would also mean the end of the miners' brass band.",Mark Herman,Mark Herman,Pete Postlethwaite|Tara Fitzgerald|Ewan McGregor
937,6.0|5.7K,,A family is torn apart after a father gives his valuable farm land to his daughters.,Jocelyn Moorhouse,Jane Smiley|Laura Jones,Michelle Pfeiffer|Jessica Lange|Jennifer Jason Leigh
938,4.8|1.5K,,Greg Kinnear plays a carriage-shy husband in a romantic comedy about a couple trying to conceive a child.,Keith Samples,Kevin Meyer|Keith Samples,Greg Kinnear|Lauren Holly|Joan Cusack
939,7.3|29K,,An eager and idealistic young attorney defends an Alcatraz prisoner accused of murdering a fellow inmate. The extenuating circumstances: his client had just spent over three years in solitary confinement.,Marc Rocco,Dan Gordon,Christian Slater|Kevin Bacon|Gary Oldman
940,6.1|54K,"3,595|down|1,888",Three band members hoping for a big break head to a radio station to play their demo tape and wind up holding everyone hostage with plastic guns when the head D.J. refuses to play them.,Michael Lehmann,Rich Wilkes,Brendan Fraser|Steve Buscemi|Adam Sandler
941,6.7|15K,"4,882|up|1,421","Convinced his thesis will have him graduate with honors from Harvard University, a stuffy student finds himself at the mercy of a homeless man's demands when he holds the papers hostage.",Alek Keshishian,William Mastrosimone,Joe Pesci|Brendan Fraser|Moira Kelly
942,7.3|22K,"3,366|up|1,636","The story of singer Tina Turner's rise to stardom and how she gained the courage to break free from her abusive husband, Ike Turner.",Brian Gibson,Tina Turner|Kurt Loder|Kate Lanier,Angela Bassett|Laurence Fishburne|RaéVen Kelly
943,6.4|21K,,"The cab driver sets American Zed up with Zoe in his Paris hotel. Despite FFR1000 charged, she's an art student with day jobs e.g. bank. Safecracker Zed meets his junkie friend after 11 years to rob a bank.",Roger Avary,Roger Avary,Eric Stoltz|Julie Delpy|Martin Raymond
944,6.2|18K,,A failed businessman is hired by the army to teach a group of underachieving recruits in order to help them pass basic training.,Penny Marshall,Jim Burnstein,Danny DeVito|Gregory Hines|James Remar
945,7.9|81K,"3,400|up|141",Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,Stanley Donen,Peter Stone|Marc Behm,Cary Grant|Audrey Hepburn|Walter Matthau
946,7.2|97K,"4,373|down|538","A little fox named Tod, and Copper, a hound puppy, vow to be best buddies forever. But as Copper grows into a hunting dog, their unlikely friendship faces the ultimate test.",Ted Berman|Richard Rich|Art Stevens,Daniel P. Mannix|Larry Clemmons|Ted Berman,Mickey Rooney|Kurt Russell|Pearl Bailey
947,7.5|53K,"4,938|down|97","The rivalry between Enzo and Jacques, two childhood friends and now world-renowned free divers, becomes a beautiful and perilous journey into oneself and the unknown.",Luc Besson,Luc Besson|Robert Garland|Marilyn Goldin,Jean-Marc Barr|Jean Reno|Rosanna Arquette
948,5.4|9.2K,,Two friends who have gone too long without sex set out to get some.,Jeff Pollack,Takashi Bufford|J. Stanford Parker,Jamie Foxx|Tommy Davidson|Vivica A. Fox
949,6.3|12K,,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,Jocelyn Moorhouse,Whitney Otto|Jane Anderson,Winona Ryder|Ellen Burstyn|Anne Bancroft
950,6.5|3.2K,,Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.,Ulu Grosbard,Barbara Turner,Jennifer Jason Leigh|Mare Winningham|Ted Levine
951,6.0|30K,,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cupboard from his older brother, a set of antique keys from his mother, and a plastic Indian from his best friend, Patrick.",Frank Oz,Lynne Reid Banks|Melissa Mathison,Hal Scardino|Litefoot|Lindsay Crouse
952,6.6|9.8K,,"Brooklyn Cigar Store is a neighborhood hangout in Brooklyn with Auggie Wren/H.Keitel as center. Some people are interviewed about Brooklyn, spiced up with statistics on Brooklyn.",Paul Auster|Wayne Wang|Harvey Wang,Paul Auster|Wayne Wang,Harvey Keitel|Lou Reed|Michael J. Fox
953,6.7|3.2K,,"When a youngster needs a break from the pressures of his parents' household, he moves in with his offbeat uncles and learns some invaluable life lessons.",Diane Keaton,Franz Lidz|Richard LaGravenese,Andie MacDowell|John Turturro|Michael Richards
954,6.4|1.2K,,One of the most successful designers in high fashion plans his fall 1994 collection. Follow the behind-the-scenes look at the creative side of fashion.,Douglas Keeve,Isaac Mizrahi|Roseanne Barr|Sandra Bernhard,Douglas Keeve
955,8.1|318K,723|up|296,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater,Richard Linklater|Kim Krizan,Ethan Hawke|Julie Delpy|Andrea Eckert
956,7.3|22K,,A stubborn man past his prime reflects on his life of strict independence and seeks more from himself.,Robert Benton,Richard Russo|Robert Benton,Paul Newman|Bruce Willis|Jessica Tandy
957,7.2|4.5K,,"All the while, Master Chu tries to find his place in the foreign American world.",Ang Lee,Ang Lee|James Schamus,Sihung Lung|Lai Wang|Bozhao Wang
958,,,,,,
959,7.6|190K,229|down|18,The adventures of high school and junior high students on the last day of school in May 1976.,Richard Linklater,Richard Linklater,Jason London|Wiley Wiggins|Matthew McConaughey
960,7.7|41K,"2,609|down|281",An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.,Mike Leigh,Mike Leigh,David Thewlis|Lesley Sharp|Katrin Cartlidge
961,,,,,,
962,6.9|3.1K,,A young woman struggles for independence and identity in a small Florida tourist town.,Victor Nunez,Jane Austen|Victor Nunez,Ashley Judd|Todd Field|Bentley Mitchum
963,7.5|1.7K,,"Twenty-five years after commiting a double murder, Karl Childers is going to be released from an institution for the criminally insane. A local reporter comes to talk to him, and after some fussing about her gender, the institution's director lets her talk to Karl (after all, he'll have to talk to women after his release). Karl talks about his life leading up to the c...",George Hickenlooper,Billy Bob Thornton,Billy Bob Thornton|Molly Ringwald|J.T. Walsh
964,6.2|2.5K,,"At a Lake Como resort, Miss Bentley, an attractive older guest, meets a handsome, well-to-do bachelor. But when he's more interested in a beautiful young flirt, the mischievous Miss Bentley goes to outrageous lengths to reel in her catch.",John Irvin,Trevor Bentham|H.E. Bates|Josep Llurba,Vanessa Redgrave|Edward Fox|Uma Thurman
